Code,Title,Description,Extension
economic,Economic,"The goal is economic, such as formal employment and the local economy.",Sustainability
economic.formalEmploymentPromotion,Formal employment promotion,The goal is to promote formal employment.,Sustainability
economic.innovativePurchase,Innovative purchase,"The goal is to procure innovative goods, services or works.",Sustainability
economic.localEconomyPromotion,Local economy promotion,The goal is to promote the local economy.,Sustainability
economic.marketInnovationPromotion,Market innovation promotion,The goal is to promote market innovation.,Sustainability
economic.processInnovationPromotion,Process innovation promotion,"The goal is to procure goods, services or works that entail process innovation.",Sustainability
economic.productInnovationPromotion,Product innovation promotion,"The goal is to procure goods, services or works that entail product innovation.",Sustainability
economic.researchDevelopmentActivities,Research and development activities,"The goal is to procure goods, services or works that involve research and development activities.",Sustainability
environmental,Environmental,"The goal is to minimize and, if possible, avoid environmental damage: for example, reducing CO2 emissions and waste or promoting resource reuse and energy efficiency.",Sustainability
environmental.biodiversityProtectionRestoration,Biodiversity protection and restoration,The goal is to protect and restore biodiversity and ecosystems.,Sustainability
environmental.carbonEmissionsReduction,Carbon emissions reduction,The goal is to reduce carbon dioxide (CO2) emissions.,Sustainability
environmental.circularEconomy,Circular economy,The goal is to promote the transition to a circular economy.,Sustainability
environmental.climateChangeAdaptation,Climate change adaptation,The goal is to promote climate change adaptation.,Sustainability
environmental.climateChangeMitigation,Climate change mitigation,The goal is to promote climate change mitigation.,Sustainability
environmental.energyEfficiency,Energy efficiency,The goal is to promote energy efficiency.,Sustainability
environmental.pollutionPrevention,Pollution prevention,The goal is to prevent pollution.,Sustainability
environmental.recycling,Recycling,The goal is to promote recycling.,Sustainability
environmental.resourceReuse,Resource reuse,The goal is to maximize the reuse of resources.,Sustainability
environmental.waterResourcesProtection,Water resources protection,The goal is to promote the sustainable use and protection of water and marine resources.,Sustainability
environmental.wasteReduction,Waste reduction,The goal is to reduce waste.,Sustainability
social,Social,"The goal is to generate benefits to society: for example, promoting labor rights, diversity and equal opportunity, and occupational health and safety.",Sustainability
social.accessibility,Accessibility,The goal is to promote accessibility for disabled and not disabled persons.,Sustainability
social.disadvantagedEmploymentOpportunities,Disadvantaged employment opportunities,"The goal is to promote employment opportunities for the long-term unemployed, disadvantaged and/or for persons with disabilities.",Sustainability
social.ethnicEquality,Ethnic equality,The goal is to promote ethnic equality.,Sustainability
social.genderEquality,Gender equality,The goal is to promote gender equality.,Sustainability
social.humanRightsInSupplyChains,Human rights in supply chains,The goal is to promote human rights due dilligence in global supply chains.,Sustainability
social.laborRightsPromotion,Labor rights promotion,The goal is to promote labor rights.,Sustainability
social.smeInclusion,SME inclusion,The goal is to promote the participation of small and medium-sized enterprises (SMEs).,Sustainability
social.womenInclusion,Women inclusion,The goal is to promote the participation of women-owned suppliers.,Sustainability
